X,Y
-21.1,437.6
0.0,416.8
9.4,416.2
14.1,416.5
18.9,417.1
31.5,419.2
32.2,419.1
34.1,420.1
39.6,420.7
73.0,420
102.3,419.6
114.8,419.7
155.4,417.7
180.0,413.5
416.2,373.5
422.4,372.5
426.7,371.8
430.6,371.1
446.2,368.2
521.0,355.7
563.8,356.4
567.2,356.5
569.5,356.6
571.9,356.6
574.4,356.6
722.2,350
773.5,352.6
780.3,352.8
786.7,353
796.6,353
859,347.4
894,343.7
952.4,338.7
956.2,338.8
960.3,338.8
964.7,338.9
1012.9,349.9
1058,356.9
1065.1,356.8
1195,355
1200,355
1204.1,355
1255.6,356.5
1404.6,357
1406.8,357
1482.2,350.8
1482.9,350.8
1528.2,350.2
1530.6,350
1532.8,349.9
1548.3,347.8
1571.8,352.7
1575,353
1578.4,353.3
1593.4,352.9
1595.3,353.3
1657.2,359.4
1703.1,359.9
1707.6,360
1756,359.5
1799.3,359
1841.1,356.9
1865.5,359.9
1899.5,367
1902,367.6
1905.1,368.3
1907.8,368.9
1910.7,369.6
1914,370.3
1916.7,370.9
1922.6,372.1
1932,374.1
1936.1,375
1948.2,377.6
1948.9,377.7
1950.9,378.2
1956.7,379.5
1967.9,382
1976.2,383.9
1991.6,387.3
2009.9,391.4
2021,394.1
2029,395.7
2030.5,396
2030.8,396
2031,396.1
2031.2,396.1
2031.3,396.1
2044.6,397.8
2054,398.4
2062,398.7
2080.7,399.6
2087,399.8
2095,400.4
2120,404
2128,404.8
2146.7,406.2
2153,406.3
2193,409
2257.6,416.9
2328.2,423.8
2390.5,432.3
2408.9,434.8
2431.5,437.8
2453.3,440.1
2460,440.5
2583.3,440.5
2593.6,440.7
2643.5,442
2672.5,442.9
